# time(days) eclipse_dt(seconds) gw_freq(hertz)
3.140202334006342880e+03 -1.936076956380566116e+03 4.821767923669701729e-03
3.150579660901231364e+03 -1.948894283933623228e+03 4.821768151091438553e-03
3.158705899257502097e+03 -1.958960751410631929e+03 4.821768329180029303e-03
3.172533863651384763e+03 -1.976149899957817979e+03 4.821768632223459930e-03
3.182004793505842827e+03 -1.987966267693263944e+03 4.821768839781387372e-03
3.190381104108576437e+03 -1.998446289642015472e+03 4.821769023350472652e-03
3.197868143121259891e+03 -2.007837018549616914e+03 4.821769187430955360e-03
3.207382325499653234e+03 -2.019802080173394643e+03 4.821769395936861477e-03
3.217225144546553111e+03 -2.032217844222031999e+03 4.821769611644964766e-03
3.226330718867987798e+03 -2.043737520991999190e+03 4.821769811196177126e-03
3.238022800803842529e+03 -2.058577192939992528e+03 4.821770067431473128e-03
3.247086722768124673e+03 -2.070118123374413699e+03 4.821770266069931241e-03
3.255605563808054285e+03 -2.080994420724164229e+03 4.821770452762812013e-03
3.265818268127982265e+03 -2.094070891158480663e+03 4.821770676577234738e-03
3.277533107068928075e+03 -2.109121148090343922e+03 4.821770933311425936e-03
3.284725862087546830e+03 -2.118388507157214917e+03 4.821771090942823454e-03
3.292844182874806847e+03 -2.128872797432995867e+03 4.821771268858297474e-03
3.303889975093359226e+03 -2.143179291032720357e+03 4.821771510930237224e-03
3.309339175141784381e+03 -2.150254734708869364e+03 4.821771630351151354e-03
3.318562209120688294e+03 -2.162256833526771516e+03 4.821771832476836467e-03
3.324016230130752774e+03 -2.169369965160149150e+03 4.821771952003433420e-03
3.335866476597440851e+03 -2.184865312544570770e+03 4.821772211705373061e-03
3.347390323460834225e+03 -2.199986746607464738e+03 4.821772464254210806e-03
3.355640221288492739e+03 -2.210844178624392953e+03 4.821772645053423213e-03
3.366411540500911997e+03 -2.225060201104497537e+03 4.821772881110450437e-03
3.375901402175561998e+03 -2.237622702980297618e+03 4.821773089083946501e-03
3.384001410657520410e+03 -2.248373317162622698e+03 4.821773266598368933e-03
3.395188000067352732e+03 -2.263262909905461129e+03 4.821773511756295878e-03
3.404033889261783770e+03 -2.275071772314549889e+03 4.821773705617011553e-03
3.415208837020422834e+03 -2.290033749889698811e+03 4.821773950519889045e-03
3.424949831914319930e+03 -2.303115831235481892e+03 4.821774163997227282e-03
3.432963142603837241e+03 -2.313905579253332689e+03 4.821774339611782298e-03
3.442423991610130997e+03 -2.326676864972978365e+03 4.821774546949686088e-03
3.452124885627125877e+03 -2.339808686378819402e+03 4.821774759548294945e-03
3.461738652699651993e+03 -2.352859024016652256e+03 4.821774970237519692e-03
3.475295452965993263e+03 -2.371323559217853472e+03 4.821775267339819052e-03
